show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,IMDB_Rating,year_added
s1037,TV Show,Coronation Street,,,United Kingdom,2021-01-15,1960,TV-PG,2 Seasons,"Drama, International","Britain's favorite drama series Coronation Street is loved by millions of fans worldwide. For five decades we have been gripped by the domestic dramas of these ordinary people on the fictional cobbled street in Manchester. The roll call of iconic characters over the years is endless, with approximately 5,000 characters. The street has seen it all, from affairs of the heart to domestic disasters. With over 7,500 episodes there have been 39 births, 120 deaths and 88 weddings.",5.6,2021
s1038,TV Show,Endlings,,,Canada,2021-01-15,2020,TV-PG,2 Seasons,"Action, Adventure, Family","Set 20 years in the future,Â EndlingsÂ is the empowering story of four teenagers in foster care who discover they're not alone in the universe, even though sometimes it can feel like they are. Halfway across the world, Tuko is alone. After the death of her mate, Tuko becomes the last elephant in existence â what biologists call an endling. Her endling status summons to Earth a mysterious Alien who is on an intergalactic quest to save the last member of near-extinct species. After Tuko is collected, the Alien's ship malfunctions and sends it on a crash course with the farm whereÂ Julia (Kamaia Fairburn), Johnny (Edison Grant), Tabby (Michela Luci) and Finn (Cale Thomas Ferrin) live with their foster dad, Mr. Leopold (Neil Crone). Before crashing, the Alien releases all of its cosmic collection into the fields and wilderness surrounding the property. This kicks off a high-action life-altering mission to retrieve these fantastical creatures before the local police, Tuko's caretaker (Oyin Oladejo), or a secretive industrialist (Lisa Ryder) can. Along the way, four discarded teens discover that ""endling"" doesn't have to mean the end; it can also mean a new beginning.",5.3,2021
s1039,Movie,The Secrets We Keep,,,United States,2021-01-14,2020,R,98 min,Thriller,"A survivor of WWII, rebuilding her life in suburban America with her husband, kidnaps her neighbor who she believes is responsible for the murder of her family during the war.",5.9,2021
s1040,TV Show,Trafficked with Mariana van Zeller,,,United States,2021-01-14,2020,TV-14,1 Season,Documentaries,"A look at the complex inner-workings of the global underworld, black and informal markets.",8.4,2021
s1041,Movie,Dogs Playing Poker,,,,2021-01-13,2021,,,Comedy,"Football-oriented animated shorts based on the Icebox series âPoker Night,â inspired by Cassius Marcellus Coolidge's iconic 1900s art series, âDogs Playing Poker.â",5.5,2021
s1042,Movie,Everyone is Doing Great,,,United States,2021-01-13,2021,1 Season,,Drama,"Seth and Jeremy enjoyed the success of âEternal,â a hit television vampire drama. Five years after their show has ended, they lean on each other as they awkwardly navigate the perils of life and love in a late coming-of-age.",7.0,2021
s1043,TV Show,Unpolished,,,United States,2021-01-13,2019,TV-PG,2 Seasons,Reality,"Following the zany antics of a family-run salon on Long Island, including nail artist Lexi Martone and her sister Bria who co-own the place.",6.0,2021
s1044,Movie,24 Hours: Assault on the Capitol,,,United States,2021-01-12,2021,,,News,"The detailed timeline of events surrounding the deadly siege of the U.S. Capitol and violence in Washington, D.C. on January 6, 2021.",6.3,2021
s1045,TV Show,Last Man Standing,,,United States,2021-01-11,2011,TV-PG,9 Seasons,"Comedy, Family, Sitcom","Mike Baxter is a happily married father of three daughters who finds himself the odd man out as he tries to maintain his manliness in a home surrounded by women. Mike tries to escape all the female drama at home in the warm, manly embrace of his job at the Outdoor Man store, a sporting goods emporium where he is marketing director. He also revels in his Outdoor Man vlog, which he uses as a pulpit for his opinions â which often have nothing to do with the store's merchandise. When he's supposed to be selling mountain bikes or kayaks, he somehow ends up spouting off about the environment, health care, international politics or any other topic occupying his mind.",7.5,2021
s1046,Movie,Lights Out,,,United States,2021-01-11,2016,PG-13,81 min,"Horror, Thriller",A young woman and her step-brother are terrorized by a malevolent spirit that only appears when the lights go out.,6.3,2021
